cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
1,2025-12-15T00:16:18.558829+00:00,2025-12-15T08:15:34.376554+00:00,125,1,48.327660,-4.521221,59.455589,24.719612
2,2025-12-15T00:17:42.108486+00:00,2025-12-18T10:31:07.462714+00:00,1966,1,51.849203,5.871129,51.816665,5.396423
3,2025-12-15T00:17:49.627539+00:00,2025-12-17T01:18:31.009438+00:00,11,4,45.107353,37.910312,44.729326,37.798337
4,2025-12-15T00:18:22.103207+00:00,2025-12-15T00:19:41.264192+00:00,2,1,-19.251445,146.830693,-18.050322,146.366368
5,2025-12-15T00:19:16.152361+00:00,2025-12-18T10:11:39.853226+00:00,748,1,48.379188,-4.503435,59.441736,24.767458
6,2025-12-15T00:19:20.954823+00:00,2025-12-15T00:23:17.766185+00:00,2,1,34.662000,33.054667,31.747383,34.311333
7,2025-12-15T00:27:15.006614+00:00,2025-12-15T04:38:48.132660+00:00,9,1,59.893437,30.019531,50.832198,15.267077
8,2025-12-15T00:30:06.992426+00:00,2025-12-15T00:31:41.844849+00:00,2,1,-19.251428,146.830677,-9.288290,117.009785
9,2025-12-15T00:35:38.061219+00:00,2025-12-15T00:35:38.061219+00:00,1,1,44.798393,37.821587,45.125058,40.142518
10,2025-12-15T00:35:57.535332+00:00,2025-12-15T00:36:57.506747+00:00,2,1,51.945882,4.089517,51.867315,4.306510
11,2025-12-15T00:36:13.945462+00:00,2025-12-15T00:37:19.709530+00:00,2,1,37.174406,23.254424,40.112110,26.351583
12,2025-12-15T00:36:36.841528+00:00,2025-12-18T02:23:31.728216+00:00,14,4,45.165252,37.878562,44.721470,37.798449
13,2025-12-15T00:43:14.723516+00:00,2025-12-15T00:44:56.200155+00:00,2,1,51.917163,4.485328,52.215507,5.837307
14,2025-12-15T00:44:20.602110+00:00,2025-12-17T21:10:41.243628+00:00,12,1,37.927583,23.638968,37.105615,25.369686
15,2025-12-15T00:44:25.821705+00:00,2025-12-15T00:48:03.516402+00:00,2,1,1.256454,103.782642,-4.348962,83.269322
16,2025-12-15T00:44:31.057128+00:00,2025-12-18T06:29:43.796425+00:00,25,1,34.645308,33.010675,34.507207,33.279345
17,2025-12-15T00:45:57.019684+00:00,2025-12-18T04:02:13.924600+00:00,97,10,44.793357,37.829922,44.895561,38.062225
18,2025-12-15T00:46:08.116677+00:00,2025-12-17T08:26:16.906622+00:00,6,3,51.947171,4.730754,52.384868,4.893986
19,2025-12-15T00:51:35.835034+00:00,2025-12-18T03:52:47.505791+00:00,134,11,44.746948,37.818843,45.164884,37.879483
20,2025-12-15T00:54:15.744931+00:00,2025-12-15T01:01:44.297433+00:00,2,1,53.515132,8.143733,53.748668,7.805690
21,2025-12-15T00:54:30.845736+00:00,2025-12-15T00:55:41.994099+00:00,2,1,-19.251428,146.830693,-16.875140,145.806358
22,2025-12-15T00:54:31.751652+00:00,2025-12-15T00:54:31.751652+00:00,1,1,33.728670,-118.181105,33.629852,-118.202690
23,2025-12-15T00:55:01.320549+00:00,2025-12-17T03:53:09.875061+00:00,4,1,51.441933,3.586312,52.961467,4.779607
24,2025-12-15T00:56:37.662354+00:00,2025-12-18T00:52:35.703389+00:00,4,1,33.642055,-118.199169,33.750240,-118.183740
25,2025-12-15T00:59:58.814819+00:00,2025-12-17T23:54:34.353076+00:00,4,2,51.820170,4.234653,51.914431,4.484574
26,2025-12-15T01:01:56.927748+00:00,2025-12-15T01:02:10.212713+00:00,2,1,46.154733,-1.225048,39.353832,-9.880593
