received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url,spoofing_cluster_id,spoofing_confirmed
2026-01-12 06:26:09.693439726 +0000 UTC,244700336,59,7,598349.5,76503.72,54.174285000000005,9.447778333333334,2026-01-12 06:26:01.87225743 +0000 UTC,54.38444166666667,18.66415,2026-01-12 06:26:09.693439726 +0000 UTC,True,"https://www.google.com/maps?q=54.38444166666667,18.66415",1,False
2026-01-12 06:27:27.684314406 +0000 UTC,299999999,54,25,2248750.8,24169.93,59.441763333333334,24.7675,2026-01-12 06:25:54.645110861 +0000 UTC,48.387683333333335,-4.498483333333334,2026-01-12 06:27:27.684314406 +0000 UTC,True,"https://www.google.com/maps?q=48.387683333333335,-4.498483333333334",2,False
2026-01-12 06:29:05.048512683 +0000 UTC,222222222,53,3,5406232.0,505164.11,49.48397666666666,0.15385833333333335,2026-01-12 06:28:54.346580749 +0000 UTC,25.290650000000003,55.22911666666666,2026-01-12 06:29:05.048512683 +0000 UTC,True,"https://www.google.com/maps?q=25.290650000000003,55.22911666666666",3,False
2026-01-12 06:29:37.080568698 +0000 UTC,244130690,6,35,497568.6,16831.40,51.970938333333336,3.697976666666667,2026-01-12 06:29:07.518640209 +0000 UTC,53.520970000000005,-3.2403583333333335,2026-01-12 06:29:37.080568698 +0000 UTC,True,"https://www.google.com/maps?q=53.520970000000005,-3.2403583333333335",4,False
2026-01-12 06:29:54.344633037 +0000 UTC,222222222,3,53,5406230.5,109668.48,25.290650000000003,55.22911666666666,2026-01-12 06:29:05.048512683 +0000 UTC,49.48397666666666,0.1538783333333333,2026-01-12 06:29:54.344633037 +0000 UTC,True,"https://www.google.com/maps?q=49.48397666666666,0.1538783333333333",3,False
2026-01-12 06:30:07.515656451 +0000 UTC,244130690,35,6,497951.5,16361.10,53.520970000000005,-3.2403583333333335,2026-01-12 06:29:37.080568698 +0000 UTC,51.97269166666667,3.705255,2026-01-12 06:30:07.515656451 +0000 UTC,True,"https://www.google.com/maps?q=51.97269166666667,3.705255",4,False
2026-01-12 06:31:53.311606956 +0000 UTC,299999999,25,52,2248749.7,26159.68,48.38766666666667,-4.498466666666667,2026-01-12 06:30:27.349172585 +0000 UTC,59.44176,24.767475,2026-01-12 06:31:53.311606956 +0000 UTC,True,"https://www.google.com/maps?q=59.44176,24.767475",2,False
2026-01-12 06:33:27.569669379 +0000 UTC,299999999,52,25,2248750.6,23857.38,59.44176,24.767475,2026-01-12 06:31:53.311606956 +0000 UTC,48.38766666666667,-4.498483333333334,2026-01-12 06:33:27.569669379 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498483333333334",2,False
2026-01-12 06:35:15.849047712 +0000 UTC,222222222,2,14,5407764.8,431138.34,49.483945,0.15397000000000002,2026-01-12 06:35:03.306055936 +0000 UTC,25.290183333333335,55.2502,2026-01-12 06:35:15.849047712 +0000 UTC,True,"https://www.google.com/maps?q=25.290183333333335,55.2502",5,False
2026-01-12 06:36:03.218489944 +0000 UTC,222222222,14,2,5407764.6,114161.46,25.290183333333335,55.2502,2026-01-12 06:35:15.849047712 +0000 UTC,49.48394666666666,0.15397333333333335,2026-01-12 06:36:03.218489944 +0000 UTC,True,"https://www.google.com/maps?q=49.48394666666666,0.15397333333333335",5,False
2026-01-12 06:37:54.566805713 +0000 UTC,299999999,25,54,2248749.3,25822.69,48.38766666666667,-4.49845,2026-01-12 06:36:27.482577034 +0000 UTC,59.441763333333334,24.767481666666665,2026-01-12 06:37:54.566805713 +0000 UTC,True,"https://www.google.com/maps?q=59.441763333333334,24.767481666666665",2,False
