cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
1,2025-12-22T10:46:11.760573+00:00,2025-12-22T18:29:10.911052+00:00,36,1,24.438437,-81.730986,26.086312,-80.116547
2,2025-12-22T10:47:23.732298+00:00,2025-12-22T10:47:23.732298+00:00,1,1,51.049182,2.560508,51.052540,1.590707
3,2025-12-22T10:48:33.098702+00:00,2025-12-22T10:49:07.733668+00:00,2,1,26.086312,-80.116547,24.682758,-80.448997
4,2025-12-22T10:48:43.346201+00:00,2025-12-23T19:29:42.787446+00:00,375,1,59.441774,24.767519,48.387682,-4.498470
5,2025-12-22T10:49:56.185811+00:00,2025-12-23T10:21:17.800272+00:00,492,1,51.849200,5.871133,51.816673,5.396453
6,2025-12-22T10:51:20.625835+00:00,2025-12-22T10:52:21.577835+00:00,2,1,1.273658,103.774150,1.218270,103.580825
7,2025-12-22T11:04:19.473094+00:00,2025-12-22T11:04:56.591488+00:00,2,1,44.234686,8.507157,36.082038,-4.337248
8,2025-12-22T11:05:34.454538+00:00,2025-12-22T13:00:20.907995+00:00,4,1,34.653329,33.020504,31.760533,34.319350
9,2025-12-22T11:17:58.446949+00:00,2025-12-23T04:00:09.029381+00:00,8,1,53.481697,-3.228956,53.347413,-6.192772
10,2025-12-22T11:18:13.997735+00:00,2025-12-22T11:18:13.997735+00:00,1,1,24.559047,-81.808575,26.096208,-80.032135
11,2025-12-22T11:18:18.865879+00:00,2025-12-22T11:20:40.796055+00:00,2,1,26.091441,-80.073158,25.548315,-79.847675
12,2025-12-22T11:21:46.269671+00:00,2025-12-22T11:23:30.725968+00:00,2,1,44.268358,8.448658,44.080867,8.543108
13,2025-12-22T11:34:36.352915+00:00,2025-12-22T11:35:30.746580+00:00,2,1,51.894925,4.449192,52.183967,4.231212
14,2025-12-22T11:35:48.905877+00:00,2025-12-22T11:39:20.253632+00:00,2,1,51.341878,3.215711,51.488665,0.888127
15,2025-12-22T11:43:38.447118+00:00,2025-12-23T18:31:30.947652+00:00,8,1,47.270683,-122.418302,37.749067,-122.342221
16,2025-12-22T11:44:33.046661+00:00,2025-12-22T11:46:10.260653+00:00,2,1,26.086312,-80.116547,25.191837,-79.882738
17,2025-12-22T11:57:00.945120+00:00,2025-12-22T11:57:20.058832+00:00,2,1,51.341881,3.215710,51.480792,1.382820
18,2025-12-22T11:57:12.033493+00:00,2025-12-22T11:59:11.244928+00:00,2,1,39.262818,-76.594977,37.477225,-76.099685
19,2025-12-22T11:57:42.650684+00:00,2025-12-22T11:57:47.629337+00:00,2,1,51.958787,5.653671,51.900010,4.470575
20,2025-12-22T11:58:31.566888+00:00,2025-12-22T16:47:03.246498+00:00,4,1,26.086312,-80.116547,24.515997,-81.001645
21,2025-12-22T11:59:21.337589+00:00,2025-12-22T12:00:21.490636+00:00,2,1,52.399763,4.900313,-29.738703,0.006900
22,2025-12-22T12:04:51.963744+00:00,2025-12-22T12:06:34.554477+00:00,2,1,26.032043,-80.064697,25.020200,-80.036898
23,2025-12-22T12:07:07.291612+00:00,2025-12-22T16:11:35.517081+00:00,14,1,25.680359,-79.909327,26.086312,-80.116547
24,2025-12-22T12:08:10.866228+00:00,2025-12-22T12:08:10.866228+00:00,1,1,51.341882,3.215705,51.530505,2.382072
25,2025-12-22T12:08:36.773453+00:00,2025-12-22T12:08:36.773453+00:00,1,1,51.530505,2.382072,51.461617,0.291130
26,2025-12-22T12:10:18.184799+00:00,2025-12-22T12:10:18.184799+00:00,1,1,26.086312,-80.116547,25.494195,-79.842783
27,2025-12-22T12:12:06.344344+00:00,2025-12-22T12:12:06.344344+00:00,1,1,25.494195,-79.842783,25.772040,-79.328017
28,2025-12-22T12:12:20.636960+00:00,2025-12-23T19:15:02.903091+00:00,27,1,51.485565,0.550155,51.341882,3.215708
29,2025-12-22T12:14:12.265526+00:00,2025-12-22T12:14:18.791694+00:00,2,1,39.262818,-76.594977,37.441237,-76.099870
30,2025-12-22T12:16:08.530163+00:00,2025-12-22T17:13:07.827400+00:00,7,1,25.710383,-79.347145,26.086312,-80.116547
31,2025-12-22T12:17:13.656081+00:00,2025-12-22T12:18:20.760385+00:00,2,1,51.341883,3.215712,51.566053,2.504462
32,2025-12-22T12:21:17.412765+00:00,2025-12-22T12:21:17.412765+00:00,1,1,56.308352,7.909002,56.148922,7.684423
33,2025-12-22T12:21:40.585511+00:00,2025-12-22T18:13:27.416126+00:00,6,1,28.471396,-16.241943,32.642112,-16.911588
34,2025-12-22T12:23:15.559973+00:00,2025-12-22T12:24:19.376423+00:00,2,1,34.655283,33.019850,33.356450,31.930517
35,2025-12-22T12:24:03.372663+00:00,2025-12-23T15:35:09.768705+00:00,36,1,47.270683,-122.418301,47.547098,-122.525324
36,2025-12-22T12:28:47.372085+00:00,2025-12-22T12:37:25.711354+00:00,2,1,1.273668,103.774124,1.360142,103.545938
37,2025-12-22T12:28:54.108713+00:00,2025-12-22T12:28:54.108713+00:00,1,1,26.086312,-80.116547,24.900353,-80.306530
38,2025-12-22T12:30:14.171030+00:00,2025-12-22T12:30:14.171030+00:00,1,1,24.900353,-80.306530,24.557172,-81.812742
39,2025-12-22T12:31:34.092888+00:00,2025-12-22T12:32:39.233533+00:00,2,1,52.358406,4.891254,51.879463,4.267853
40,2025-12-22T12:31:34.124572+00:00,2025-12-23T16:47:18.177994+00:00,6,1,47.316781,-122.436244,48.132050,-123.431200
